# Usage list, from 2013/04/30 15:13:49 UTC, now at 2013/05/01 18:23:13 UTC
# Total of 304 model groups, 312 total, with 1242 callsigns, over 27:09:24 hrs:min:secs
777-*                 226 777-200=44,777-200ER=87,777-200LR=13,777-300=21,777-300ER=61
ATC-*                  51 atc-fs=2,ATC-ML=11,atc-tower=4,atc-tower2=2,OpenRadar=32
c172p                  50 
Citation-X             43 
f-14b                  39 
SenecaII               33 
B1900D                 27 
A380                   24 
747-400                22 
A320neo                17 
aerostar               17 
Concorde_ba            16 
bo105                  13 
ufo                    13 
ec135                  12 
f-14b-bs               12 
CRJ700                 10 
dhc2                   10 
F-35B                  10 
f16                    10 
738                     9 
787-8                   9 
Cub                     9 
737-300                 8 
747-400-fo              8 
A-6E-model              8 
A330-223                8 
A330-243                8 
m2000-5                 8 
ZLT-NT                  8 
757-200                 7 
A-10-model              7 
A330-203                7 
A340-600-Models         7 
ask13                   7 
harrier-model           7 
tu154b-model            7 
Typhoon                 7 
747-8i                  6 
alphajet                6 
ATR-72-500              6 
DHC6                    6 
Dragonfly               6 
PC-9M                   6 
737                     5 
A320-211                5 
a6m2-anim               5 
AN-225-model            5 
B-1B                    5 
Cessna337               5 
uh1                     5 
707                     4 
717-200                 4 
739                     4 
767-300                 4 
A320-231                4 
CRJ900                  4 
dr400                   4 
F-4N                    4 
F-5E                    4 
f18                     4 
followme                4 
p51d-jw                 4 
SU-37-model             4 
412-Griffin             3 
A321-231                3 
A330-343                3 
an2-model               3 
b2-spirit               3 
Bf-109g                 3 
boeing747-200           3 
CRJ-200                 3 
dr400-180-jsbsim        3 
ec130                   3 
ERJ-195                 3 
hondajet                3 
hornet                  3 
lionceau                3 
MD-81                   3 
OV10                    3 
pa18                    3 
pa28-161                3 
s76c                    3 
v22                     3 
yak18t                  3 
707-3J9C                2 
767-300ER               2 
787                     2 
A318-111                2 
A321                    2 
aircrane                2 
b29-model               2 
Blackbird-SR71A         2 
bluebird-osg            2 
boeing747-400-jw        2 
c-2a                    2 
C-5                     2 
c172-dpm                2 
c310-dpm                2 
cap10b                  2 
cap10c                  2 
Catalina_pelican-J      2 
